id,name,created_at,updated_at
1,A# .NET,2020-03-20 14:28:23,2020-03-20 14:30:23
2,A# (Axiom),2020-03-20 14:28:23,2020-03-20 14:30:23
3,A-0 System,2020-03-20 14:28:23,2020-03-20 14:30:23
4,A+,2020-03-20 14:28:23,2020-03-20 14:30:23
5,A++,2020-03-20 14:28:23,2020-03-20 14:30:23
6,ABAP,2020-03-20 14:28:23,2020-03-20 14:30:23
7,ABC,2020-03-20 14:28:23,2020-03-20 14:30:23
8,ABC ALGOL,2020-03-20 14:28:23,2020-03-20 14:30:23
9,ABSET,2020-03-20 14:28:23,2020-03-20 14:30:23
10,ABSYS,2020-03-20 14:28:23,2020-03-20 14:30:23
11,ACC,2020-03-20 14:28:23,2020-03-20 14:30:23
12,Accent,2020-03-20 14:28:23,2020-03-20 14:30:23
13,Ace DASL,2020-03-20 14:28:23,2020-03-20 14:30:23
14,ACL2,2020-03-20 14:28:23,2020-03-20 14:30:23
15,ACT-III,2020-03-20 14:28:23,2020-03-20 14:30:23
16,Action!,2020-03-20 14:28:23,2020-03-20 14:30:23
17,ActionScript,2020-03-20 14:28:23,2020-03-20 14:30:23
18,Ada,2020-03-20 14:28:23,2020-03-20 14:30:23
19,Adenine,2020-03-20 14:28:23,2020-03-20 14:30:23
20,Agda,2020-03-20 14:28:23,2020-03-20 14:30:23
21,Agilent VEE,2020-03-20 14:28:23,2020-03-20 14:30:23
22,Agora,2020-03-20 14:28:23,2020-03-20 14:30:23
23,AIMMS,2020-03-20 14:28:23,2020-03-20 14:30:23
24,Alef,2020-03-20 14:28:23,2020-03-20 14:30:23
25,ALF,2020-03-20 14:28:23,2020-03-20 14:30:23
26,ALGOL 58,2020-03-20 14:28:23,2020-03-20 14:30:23
27,ALGOL 60,2020-03-20 14:28:23,2020-03-20 14:30:23
28,ALGOL 68,2020-03-20 14:28:23,2020-03-20 14:30:23
29,ALGOL W,2020-03-20 14:28:23,2020-03-20 14:30:23
30,Alice,2020-03-20 14:28:23,2020-03-20 14:30:23
31,Alma-0,2020-03-20 14:28:23,2020-03-20 14:30:23
32,AmbientTalk,2020-03-20 14:28:23,2020-03-20 14:30:23
33,Amiga E,2020-03-20 14:28:23,2020-03-20 14:30:23
34,AMOS,2020-03-20 14:28:23,2020-03-20 14:30:23
35,AMPL,2020-03-20 14:28:23,2020-03-20 14:30:23
36,Apex (Salesforce.com),2020-03-20 14:28:23,2020-03-20 14:30:23
37,APL,2020-03-20 14:28:23,2020-03-20 14:30:23
38,App Inventor for Android's visual block language,2020-03-20 14:28:23,2020-03-20 14:30:23
39,AppleScript,2020-03-20 14:28:23,2020-03-20 14:30:23
40,Arc,2020-03-20 14:28:23,2020-03-20 14:30:23
41,ARexx,2020-03-20 14:28:23,2020-03-20 14:30:23
42,Argus,2020-03-20 14:28:23,2020-03-20 14:30:23
43,AspectJ,2020-03-20 14:28:23,2020-03-20 14:30:23
44,Assembly language,2020-03-20 14:28:23,2020-03-20 14:30:23
45,ATS,2020-03-20 14:28:23,2020-03-20 14:30:23
46,Ateji PX,2020-03-20 14:28:23,2020-03-20 14:30:23
47,AutoHotkey,2020-03-20 14:28:23,2020-03-20 14:30:23
48,Autocoder,2020-03-20 14:28:23,2020-03-20 14:30:23
49,AutoIt,2020-03-20 14:28:23,2020-03-20 14:30:23
50,AutoLISP / Visual LISP,2020-03-20 14:28:23,2020-03-20 14:30:23
51,Averest,2020-03-20 14:28:23,2020-03-20 14:30:23
52,AWK,2020-03-20 14:28:23,2020-03-20 14:30:23
53,Axum,2020-03-20 14:28:23,2020-03-20 14:30:23
54,B,2020-03-20 14:28:23,2020-03-20 14:30:23
55,Babbage,2020-03-20 14:28:23,2020-03-20 14:30:23
56,Bash,2020-03-20 14:28:23,2020-03-20 14:30:23
57,BASIC,2020-03-20 14:28:23,2020-03-20 14:30:23
58,bc,2020-03-20 14:28:23,2020-03-20 14:30:23
59,BCPL,2020-03-20 14:28:23,2020-03-20 14:30:23
60,BeanShell,2020-03-20 14:28:23,2020-03-20 14:30:23
61,Batch (Windows/Dos),2020-03-20 14:28:23,2020-03-20 14:30:23
62,Bertrand,2020-03-20 14:28:23,2020-03-20 14:30:23
63,BETA,2020-03-20 14:28:23,2020-03-20 14:30:23
64,Bigwig,2020-03-20 14:28:23,2020-03-20 14:30:23
65,Bistro,2020-03-20 14:28:23,2020-03-20 14:30:23
66,BitC,2020-03-20 14:28:23,2020-03-20 14:30:23
67,BLISS,2020-03-20 14:28:23,2020-03-20 14:30:23
68,Blockly,2020-03-20 14:28:23,2020-03-20 14:30:23
69,BlooP,2020-03-20 14:28:23,2020-03-20 14:30:23
70,Blue,2020-03-20 14:28:23,2020-03-20 14:30:23
71,Boo,2020-03-20 14:28:23,2020-03-20 14:30:23
72,Boomerang,2020-03-20 14:28:23,2020-03-20 14:30:23
73,Bourne shell (including,2020-03-20 14:28:23,2020-03-20 14:30:23
74,bash and,2020-03-20 14:28:23,2020-03-20 14:30:23
75,ksh ),2020-03-20 14:28:23,2020-03-20 14:30:23
76,BREW,2020-03-20 14:28:23,2020-03-20 14:30:23
